model,model_key,type,dataset,emb_type,ami,nmi,ari
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1975,static,0.06083319536975135,0.09652901864610264,0.025867390108947463
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1975,ctx,0.45359604707420415,0.47180240381993394,0.29345532744979225
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1973,static,-0.01978974835187937,0.21202357619588102,-0.003705934127020892
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1973,ctx,0.39822455945889224,0.5753365004531581,0.3269689737470167
google/gemma-2-9b,gemma_2_9b,decoder,McCloskey1978,static,0.1884607043871215,0.2749557891465303,0.09091248648008479
google/gemma-2-9b,gemma_2_9b,decoder,McCloskey1978,ctx,0.4855453942234909,0.5458769464619092,0.32384266008759194
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1975,static,0.2603186939395935,0.2859100517184303,0.14236141282077955
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1975,ctx,0.7004572483288428,0.7102747305906073,0.5948482077283023
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1973,static,0.2810435295622064,0.46238211156186326,0.17555159654652597
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1973,ctx,0.714368453424333,0.7969312741680428,0.6139543280079429
google/gemma-2-2b,gemma_2_2b,decoder,McCloskey1978,static,0.0958260375705071,0.19665221466453855,0.03206705214516795
google/gemma-2-2b,gemma_2_2b,decoder,McCloskey1978,ctx,0.34959786265593523,0.427495011932213,0.19639739589746005
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1975,static,0.12740252502452296,0.15876975494930673,0.07138201862509105
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1975,ctx,0.500360587142742,0.5169777984162135,0.33281873032770787
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1973,static,0.06138584523453761,0.2818087717135888,0.03497753514662544
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1973,ctx,0.4566317428195402,0.6163245301658988,0.35301575801485235
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,McCloskey1978,static,0.04621733171680481,0.1474886389754072,0.016303310890643994
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,McCloskey1978,ctx,0.3840364963505497,0.45783362096782504,0.2192464288686386
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1975,static,0.04368732084258257,0.07929485267941261,0.021293428071781237
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1975,ctx,0.5055297017385977,0.5223214729279225,0.33052805311897654
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1973,static,-0.004755742143460351,0.23850071194917277,-0.00012073284838972564
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1973,ctx,0.5392444434614694,0.6705708359182009,0.3637837399691983
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,McCloskey1978,static,0.053096312127774783,0.15162147850975016,0.01405872453250614
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,McCloskey1978,ctx,0.11371198154853639,0.21913084258081614,0.054023830356806364
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1975,static,0.0647777676282515,0.0998296804832098,0.02323231961017527
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1975,ctx,0.28803310160540735,0.3116435231840793,0.13274314662832795
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1973,static,-0.010973606710797995,0.22606868563358576,-0.0056750731099979735
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1973,ctx,0.17545051776015233,0.41383422911755363,0.12716128442045557
gpt2,gpt2,decoder,McCloskey1978,static,0.16989024719664458,0.2614455890189211,0.07976513267812303
gpt2,gpt2,decoder,McCloskey1978,ctx,0.08417760114394611,0.19179900042584302,0.031257766792838336
gpt2,gpt2,decoder,Rosch1975,static,0.28442497160018354,0.3096521049772859,0.14329949556727153
gpt2,gpt2,decoder,Rosch1975,ctx,0.14723446384541486,0.17578383604262615,0.0721804143669676
gpt2,gpt2,decoder,Rosch1973,static,0.06021048823185061,0.292887016931055,0.0177708274097242
gpt2,gpt2,decoder,Rosch1973,ctx,0.1419621368496344,0.39425079166865845,0.07826556315221303
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,McCloskey1978,static,0.1018152004301905,0.20426588567617276,0.03085978604577627
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,McCloskey1978,ctx,0.4111751620024775,0.4814471209538475,0.2587570299271663
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1975,static,0.10205311139043816,0.13572111255295463,0.04075997774108488
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1975,ctx,0.5170206015873378,0.5331486632046103,0.333229389293619
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1973,static,0.02944568588024909,0.2629899699468121,0.01681240639644427
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1973,ctx,0.4970257222321081,0.6405025144506211,0.3926153846153846
bert-large-uncased,bert_large_uncased,encoder,McCloskey1978,static,0.024295661999621607,0.1304348239728362,0.007595190007600006
bert-large-uncased,bert_large_uncased,encoder,McCloskey1978,ctx,0.43750846420303746,0.5040003503672176,0.27863051376613485
bert-large-uncased,bert_large_uncased,encoder,Rosch1975,static,0.19313896962589736,0.22153431248518773,0.10928183117105153
bert-large-uncased,bert_large_uncased,encoder,Rosch1975,ctx,0.2688302895689017,0.29387954237103625,0.1553195225749383
bert-large-uncased,bert_large_uncased,encoder,Rosch1973,static,0.0980725478652717,0.3299760645872921,0.04370000536855103
bert-large-uncased,bert_large_uncased,encoder,Rosch1973,ctx,0.6228428617634328,0.7286070099373195,0.5019042887895346
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,McCloskey1978,static,0.04955459728431802,0.14681365230008497,0.015599389651532233
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,McCloskey1978,ctx,0.3660019713879337,0.4414223164333515,0.21330669847694522
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1975,static,0.07240752168243501,0.1095073930764691,0.023708829561214412
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1975,ctx,0.4808542762770182,0.4983404642941231,0.2934333366533539
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1973,static,-0.014086969672702468,0.2266187487271793,-0.003705934127020892
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1973,ctx,0.3095197359408628,0.5040328090747327,0.14951053099970335
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,McCloskey1978,static,0.08329305498220058,0.17860858250037945,0.024479139345818284
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,McCloskey1978,ctx,0.2269813626425988,0.31896897268299124,0.12279008044258796
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1975,static,0.15220262526175188,0.18264617758057433,0.07855167747108979
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1975,ctx,0.3175067364317286,0.3402107491334753,0.16942724280567778
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1973,static,0.09540767155411085,0.323765832036618,0.04581858819146955
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1973,ctx,0.2742164366057018,0.4792721627115059,0.15428190603132289
glove,glove,classic,McCloskey1978,static,0.4616661812884506,0.5253068793216915,0.263900856721729
glove,glove,classic,McCloskey1978,ctx,0.4616661812884506,0.5253068793216915,0.263900856721729
glove,glove,classic,Rosch1975,static,0.5077723333252218,0.5242981025499214,0.3642598931593408
glove,glove,classic,Rosch1975,ctx,0.5077723333252218,0.5242981025499214,0.3642598931593408
glove,glove,classic,Rosch1973,static,0.8383038779241297,0.8871298937883658,0.7939600584510472
glove,glove,classic,Rosch1973,ctx,0.8383038779241297,0.8871298937883658,0.7939600584510472
microsoft/deberta-large,deberta_large,encoder,McCloskey1978,static,0.08604026137244564,0.18030757285643545,0.02752581437183083
microsoft/deberta-large,deberta_large,encoder,McCloskey1978,ctx,0.3289003129130563,0.40804134514517154,0.16884919855032726
microsoft/deberta-large,deberta_large,encoder,Rosch1975,static,0.26780175871769046,0.2932357090004081,0.1699021389868632
microsoft/deberta-large,deberta_large,encoder,Rosch1975,ctx,0.3403843227363939,0.3628948129285245,0.18815869015661704
microsoft/deberta-large,deberta_large,encoder,Rosch1973,static,0.04102991965723325,0.2828422865186262,0.008074309909081957
microsoft/deberta-large,deberta_large,encoder,Rosch1973,ctx,0.34629784014386017,0.5297485009700715,0.19661226699667414
bert-base-uncased,bert_base_uncased,encoder,McCloskey1978,static,0.11895805626719545,0.2126139256737283,0.05525046053299051
bert-base-uncased,bert_base_uncased,encoder,McCloskey1978,ctx,0.4847282813412786,0.5454576457008962,0.29178935194398037
bert-base-uncased,bert_base_uncased,encoder,Rosch1975,static,0.14929593069858982,0.18005160747055657,0.07272239362809321
bert-base-uncased,bert_base_uncased,encoder,Rosch1975,ctx,0.4462282962491237,0.46496951322112423,0.305445029295726
bert-base-uncased,bert_base_uncased,encoder,Rosch1973,static,0.04276233439443992,0.2780953319086399,0.028558728747638627
bert-base-uncased,bert_base_uncased,encoder,Rosch1973,ctx,0.7048617808536398,0.7872963077694028,0.561617829137433
Qwen/Qwen2-7B,Qwen2_7B,decoder,McCloskey1978,static,0.11709302441858659,0.21937113627018223,0.04149313319951599
Qwen/Qwen2-7B,Qwen2_7B,decoder,McCloskey1978,ctx,0.31915986616289144,0.40027155036175643,0.16354416465942298
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1975,static,0.26460680948346177,0.29060426949095614,0.157182951445324
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1975,ctx,0.5105096420160329,0.5268238242465884,0.3315761310882118
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1973,static,-0.019905368397091346,0.23579805238813764,0.005756223917110376
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1973,ctx,0.44264652833425944,0.6028346398231811,0.32209538978851426
