model,model_key,type,dataset,rho,p
gpt2,gpt2,decoder,McCloskey1978,0.1570665419276354,0.0004709278753430282
gpt2,gpt2,decoder,Rosch1975,-0.05557994848705152,0.18709745945895798
gpt2,gpt2,decoder,Rosch1973,-0.07868073455324025,0.5950222656749654
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,McCloskey1978,0.11652303300682305,0.009685803552003514
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1975,-0.01943160801004179,0.6448670086196885
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1973,-0.13502874679889645,0.36016684439391966
bert-large-uncased,bert_large_uncased,encoder,McCloskey1978,0.13707492930301304,0.002310374342291265
bert-large-uncased,bert_large_uncased,encoder,Rosch1975,-0.09196707851727455,0.028828392598758194
bert-large-uncased,bert_large_uncased,encoder,Rosch1973,-0.1071535970573134,0.4685109310576331
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,McCloskey1978,0.10564710120215948,0.019079788125880716
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1975,-0.018898173838158918,0.6539730209946173
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1973,-0.09161306523257118,0.5357269425200442
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,McCloskey1978,0.10384075188461735,0.021241099985963394
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1975,0.005305532614191954,0.8998643843782533
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1973,-0.04781702099920678,0.7468935808111294
glove,glove,classic,McCloskey1978,0.371504499489388,1.508908328416714e-17
glove,glove,classic,Rosch1975,-0.33081240875345175,6.783985520154489e-16
glove,glove,classic,Rosch1973,-0.23941113013921034,0.10123443503368254
microsoft/deberta-large,deberta_large,encoder,McCloskey1978,0.15885198325815295,0.00040465590396015214
microsoft/deberta-large,deberta_large,encoder,Rosch1975,-0.049483879561947046,0.2402616750604943
microsoft/deberta-large,deberta_large,encoder,Rosch1973,-0.07862639702937753,0.5952773991546961
bert-base-uncased,bert_base_uncased,encoder,McCloskey1978,0.1354178579747574,0.0026129149085529803
bert-base-uncased,bert_base_uncased,encoder,Rosch1975,-0.08355714864385179,0.0471216853319035
bert-base-uncased,bert_base_uncased,encoder,Rosch1973,-0.13676754756250395,0.35395667595234986
Qwen/Qwen2-7B,Qwen2_7B,decoder,McCloskey1978,0.12432438234365474,0.0057562183193926725
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1975,-0.04878768643253418,0.24694919574955582
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1973,-0.05058823471620627,0.7327530759584789
